-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,0,1,2,0,1,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,-1,-1,-1,-1,-1,-1,-1
-1,-1,4,5,6,4,5,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,2,2,2,-1,-1,-1,-1,-1,0,4,5,6,2,-1,-1,-1,-1,-1,-1
-1,-1,8,9,10,8,9,4,0,1,2,-1,-1,0,1,2,0,0,0,0,1,2,-1,-1,-1,0,1,4,5,6,2,2,2,-1,-1,-1,-1,0,1,2,2,6,6,6,-1,-1,-1,-1,-1,4,8,9,10,6,-1,-1,-1,-1,-1,-1
-1,-1,4,5,6,-1,-1,8,0,1,2,-1,-1,0,0,0,4,4,4,0,1,2,-1,-1,0,1,2,8,9,10,6,6,6,2,-1,-1,0,1,2,2,6,10,10,9,14,-1,-1,-1,-1,8,9,8,9,10,-1,-1,-1,-1,-1,-1
-1,-1,8,9,10,-1,-1,-1,4,5,6,-1,-1,0,4,4,8,8,8,4,5,6,-1,-1,0,1,2,8,9,10,10,10,10,6,-1,-1,0,0,1,2,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,9,10,-1,-1,-1,-1,-1,-1,-1
-1,-1,4,5,7,7,7,7,7,9,10,-1,-1,0,8,8,8,9,10,8,9,10,-1,0,1,2,2,10,-1,-1,8,9,10,10,-1,-1,4,0,0,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,8,9,10,-1,-1,-1,-1,-1,-1,-1
-1,-1,8,9,10,-1,-1,-1,0,1,2,-1,-1,0,1,2,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,-1,-1,-1,-1,8,9,10,-1,-1,8,4,4,0,0,0,1,2,-1,-1,-1,0,1,2,8,9,10,0,1,2,-1,-1,-1,-1
-1,-1,0,1,2,-1,-1,0,4,5,6,-1,-1,0,1,2,-1,-1,-1,-1,-1,-1,-1,4,0,1,2,-1,-1,-1,0,8,9,10,-1,-1,-1,8,8,0,1,2,2,2,-1,-1,0,1,2,6,2,9,0,4,0,1,2,-1,-1,-1
-1,-1,4,5,6,0,1,4,8,9,10,-1,-1,0,1,2,-1,-1,-1,-1,-1,-1,-1,8,0,0,0,0,0,0,4,8,9,10,-1,-1,0,1,2,2,2,2,6,6,-1,-1,4,5,6,10,6,-1,4,8,4,5,6,-1,-1,-1
-1,-1,8,9,10,4,5,8,8,9,10,-1,-1,4,5,6,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,4,4,8,8,9,10,0,1,2,2,2,6,6,6,10,10,-1,-1,8,9,10,9,10,-1,8,9,8,9,10,-1,-1,-1
